label,points_sampled,frustum_visible_ratio,depth_consistent_ratio,free_space_conflict_ratio,occluded_ratio,frames
SM_Bed_a,5000,1.0,0.2224,0.8594,0.9084,73
SM_Bed_b,5000,1.0,0.9876,0.0434,1.0,73
SM_Bed_lamp_a,5000,1.0,0.997,0.2346,0.9708,73
SM_Bed_lamp_b,5000,1.0,0.8936,0.325,1.0,73
SM_Bed_table_a,5000,1.0,0.994,0.1586,0.9816,73
SM_Bed_table_b,3621,1.0,0.9121789560894781,0.1615575807787904,1.0,73
SM_Ceiling_a,5000,1.0,0.9046,0.0004,0.8934,73
SM_Chair_a,5000,1.0,0.9076,0.333,1.0,73
SM_Chair_b,5000,1.0,0.8196,0.2408,1.0,73
SM_Coffee_Machine_a,5000,1.0,0.9932,0.0908,1.0,73
SM_Coffee_table_a,5000,1.0,0.6936,0.0574,1.0,73
SM_Cup_a,495,1.0,1.0,0.0,1.0,73
SM_Decor_a,5000,1.0,0.9992,0.0862,1.0,73
SM_Digital_Clock_a,5000,1.0,0.999,0.054,1.0,73
SM_Door_a,5000,1.0,1.0,0.008,1.0,73
SM_Door_b,5000,1.0,1.0,0.1696,1.0,73
SM_Floor_Lamp_a,5000,1.0,0.5386,0.449,1.0,73
SM_Floor_a,5000,1.0,0.8358,0.0082,0.9842,73
SM_Journal_a,2622,1.0,1.0,0.28756674294431733,1.0,73
SM_Journal_b,2619,1.0,0.9942726231386025,0.332569683085147,1.0,73
SM_Journal_c,3834,1.0,1.0,0.0,1.0,73
SM_Kitchen_a,5000,1.0,0.9636,0.0036,1.0,73
SM_Laptop_a,5000,1.0,0.9992,0.2184,0.5772,73
SM_Office_Chair_base_a,5000,1.0,0.9984,0.198,0.8638,73
SM_Picture_c,5000,1.0,1.0,0.0,1.0,73
SM_Picture_d,5000,1.0,1.0,0.0,1.0,73
SM_Picture_e,5000,1.0,1.0,0.0,0.7952,73
SM_Plant_a,5000,1.0,0.9996,0.1124,1.0,73
SM_Sofa_a,5000,1.0,0.584,0.3572,1.0,73
SM_Stack_of_Books_e,5000,1.0,1.0,0.0382,1.0,73
SM_Stack_of_Books_f,4599,1.0,0.9854316155686018,0.2389649923896499,1.0,73
SM_TV_Wall_a,5000,1.0,0.9828,0.0346,0.9682,73
SM_TV_a,5000,1.0,0.9756,0.0496,1.0,73
SM_Table_Decor_a,669,1.0,1.0,0.08520179372197309,1.0,73
SM_Table_a,5000,1.0,0.9826,0.3362,1.0,73
SM_Table_b,5000,1.0,0.9968,0.216,0.79,73
SM_Wall_Clock_a,3435,1.0,1.0,0.0,1.0,73
SM_Walls_a,5000,1.0,0.9718,0.071,0.9638,73
SM_Windows_Windows_a,5000,1.0,0.9476,0.2038,1.0,73
